-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,
Location: Latitude  25.4205   Longitude 46.126 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 640.23 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,WD50M
2021,3,17,18,0,28.05,3.3,236.24
2021,3,17,19,0,27.33,2.92,239.08
2021,3,17,20,0,26.83,2.52,240.79
2021,3,17,21,0,26.4,2.21,235.6
2021,3,17,22,0,25.31,2.37,222.28
2021,3,17,23,0,23.39,3.11,212.3
2021,3,18,0,0,22.09,3.73,209.9
2021,3,18,1,0,21.18,4.29,211.24
2021,3,18,2,0,20.51,5.05,213.15
2021,3,18,3,0,20.07,5.63,214.54
2021,3,18,4,0,19.68,5.9,216.15
2021,3,18,5,0,19.23,6.18,219.7
2021,3,18,6,49.91,19.5,7.2,224.74
2021,3,18,7,251.15,21.63,7.63,227.81
2021,3,18,8,488.96,25.61,7.15,227.83
2021,3,18,9,697.67,29.64,6.89,229.05
2021,3,18,10,860.62,33.51,7.14,232.98
2021,3,18,11,916.9,35.76,6.82,233.17
2021,3,18,12,923.68,36.98,6.46,235.61
2021,3,18,13,845.38,37.56,6.18,239.74
2021,3,18,14,693.84,37.56,5.93,245.24
2021,3,18,15,455.77,37.06,5.61,253.33
2021,3,18,16,231.46,35.87,4.61,268.58
2021,3,18,17,48.8,31.33,3.11,302.53
2021,3,18,18,0,28.92,4.32,336.22
2021,3,18,19,0,27.87,6.06,358.75
2021,3,18,20,0,25.8,6.15,8.89
2021,3,18,21,0,24.11,5.32,11.55
2021,3,18,22,0,22.58,4.32,12.38
2021,3,18,23,0,21.37,3.96,14.33
2021,3,19,0,0,20.23,3.41,18.41
2021,3,19,1,0,19.44,2.95,20.11
2021,3,19,2,0,18.82,2.74,19.33
2021,3,19,3,0,17.93,2.71,20.45
2021,3,19,4,0,17.32,2.65,24.9
2021,3,19,5,0,16.83,2.5,33.61
2021,3,19,6,46.8,17.65,2.11,43.27
2021,3,19,7,219.23,20.34,3.55,56.19
2021,3,19,8,442.36,22.92,4.44,69.6
2021,3,19,9,640.71,25.55,4.41,88.32
2021,3,19,10,800.81,27.99,4.23,109.52
2021,3,19,11,911.68,29.98,3.91,131.8
2021,3,19,12,907.97,31.62,3.86,156.09
2021,3,19,13,823.42,32.81,3.85,174.18
2021,3,19,14,665.53,33.61,3.57,186.31
2021,3,19,15,454.79,33.84,3.03,191.14
2021,3,19,16,229.95,33.09,1.86,167.61
2021,3,19,17,43.41,28.69,2.28,99.64
2021,3,19,18,0,25.55,3.16,87.09
2021,3,19,19,0,24.19,3.25,69.97
2021,3,19,20,0,23.06,4.31,52.37
2021,3,19,21,0,21.65,5.87,46.08
2021,3,19,22,0,20.03,6.06,47.18
2021,3,19,23,0,19.07,5.95,51.85
2021,3,20,0,0,18.41,5.74,53.61
2021,3,20,1,0,17.78,5.44,53.01
2021,3,20,2,0,16.9,4.64,51.08
2021,3,20,3,0,16.08,4.29,47.15
2021,3,20,4,0,15.4,4.31,43.34
2021,3,20,5,0,14.72,4.36,41.08
2021,3,20,6,47.04,14.87,5.14,42.38
2021,3,20,7,215.08,16.97,5.24,46.85
2021,3,20,8,445.09,21.1,6.63,55.34
2021,3,20,9,675.09,23.91,6.29,58.06
2021,3,20,10,841.11,26.02,5.58,60.35
2021,3,20,11,939.65,27.71,4.91,60.28
2021,3,20,12,943.91,28.88,4.39,58.56
2021,3,20,13,869.05,29.48,4.09,53.19
2021,3,20,14,670.7,29.53,4.17,45.37
2021,3,20,15,443.16,28.98,4.54,38.47
2021,3,20,16,220.98,27.78,5.03,33.65
2021,3,20,17,55.9,24.95,4.09,31.75
2021,3,20,18,0,22.14,4.28,32.99
2021,3,20,19,0,20.99,4.53,34.98
2021,3,20,20,0,19.72,4.27,36.57
2021,3,20,21,0,18.48,3.92,38.17
2021,3,20,22,0,17.34,3.63,38.11
2021,3,20,23,0,16.25,3.29,38.07
2021,3,21,0,0,15.27,2.95,42.79
2021,3,21,1,0,14.58,2.64,55.48
2021,3,21,2,0,14.46,2.22,78.16
2021,3,21,3,0,14.69,1.94,105.01
2021,3,21,4,0,14.79,1.84,128.5
2021,3,21,5,0,14.55,1.99,149.8
2021,3,21,6,67.62,15.18,2.06,165.96
2021,3,21,7,298.9,18.58,2.73,176.85
2021,3,21,8,546.3,22.27,2.37,191.98
2021,3,21,9,755.49,26.26,1.96,222.3
2021,3,21,10,903.39,29.07,2.1,265.59
2021,3,21,11,981.13,31.52,3.05,284.98
2021,3,21,12,984.56,32.7,3.32,285.14
2021,3,21,13,903.76,33.26,3.33,280.19
2021,3,21,14,760.48,33.35,3.4,273.31
2021,3,21,15,554.63,32.99,3.55,268.47
2021,3,21,16,309.13,32.08,3.41,267.01
2021,3,21,17,61.05,28.15,2.35,262.16
2021,3,21,18,0,26,2.55,257.47
2021,3,21,19,0,24.9,2.67,252.78
2021,3,21,20,0,23.79,2.83,245.49
2021,3,21,21,0,22.66,3.07,236.69
2021,3,21,22,0,21.63,3.42,231.17
2021,3,21,23,0,20.9,3.75,232.48
2021,3,22,0,0,20.36,3.96,235.24
2021,3,22,1,0,19.87,4.02,238.78
2021,3,22,2,0,19.3,4,243.09
2021,3,22,3,0,18.66,3.92,246.33
2021,3,22,4,0,18.05,3.8,248.42
2021,3,22,5,0,17.47,3.68,247.93
2021,3,22,6,66.17,18.61,3.38,247.37
2021,3,22,7,289.32,22.27,4.71,247.28
2021,3,22,8,536.14,25.4,3.96,252.37
2021,3,22,9,748.07,30.23,3.53,290.36
2021,3,22,10,897.3,33.27,4.05,317.79
2021,3,22,11,938.96,34.55,4.4,329.02
2021,3,22,12,940.11,35.13,4.23,331.96
2021,3,22,13,864.26,35.33,3.64,328.82
2021,3,22,14,658.62,35.19,3.06,324.07
2021,3,22,15,430.6,34.7,2.8,322.66
2021,3,22,16,211.71,33.62,2.47,332.38
2021,3,22,17,49.52,29.68,2.09,8.63
2021,3,22,18,0,26.88,2.77,37.32
2021,3,22,19,0,25.26,3.21,52.38
2021,3,22,20,0,23.81,3.45,60.53
2021,3,22,21,0,22.62,3.56,70.19
2021,3,22,22,0,21.65,3.56,83.16
2021,3,22,23,0,20.83,3.56,99.02
2021,3,23,0,0,20.14,3.6,114.96
2021,3,23,1,0,19.58,3.66,128.74
2021,3,23,2,0,19.08,3.69,140.25
2021,3,23,3,0,18.6,3.7,150.48
2021,3,23,4,0,18.13,3.67,160.12
2021,3,23,5,0,17.7,3.65,168.65
2021,3,23,6,63.36,19.03,3.74,176.05
2021,3,23,7,274.57,22.46,5.1,180.38
2021,3,23,8,516.53,26.07,4.25,178.7
2021,3,23,9,726.73,31.25,5.51,180.21
2021,3,23,10,876.81,33.95,5.6,190.29
2021,3,23,11,971.06,35.56,5.42,199.02
2021,3,23,12,973.11,36.54,5,205.21
2021,3,23,13,833.35,37.03,4.52,210.15
2021,3,23,14,646.7,37.05,4.03,212.92
2021,3,23,15,430.47,36.61,3.57,212.83
2021,3,23,16,217.41,35.35,2.73,203.36
2021,3,23,17,56.66,30.81,2.58,178
2021,3,23,18,0,27.74,3.59,166.74
2021,3,23,19,0,26.82,4.2,166.05
2021,3,23,20,0,26.3,4.76,167.82
2021,3,23,21,0,25.82,5.5,170.11
2021,3,23,22,0,25.38,6.54,174.36
2021,3,23,23,0,24.73,7.43,181.26
2021,3,24,0,0,24.03,8.1,187.94
2021,3,24,1,0,23.49,8.55,193.07
2021,3,24,2,0,23.05,8.73,196.58
2021,3,24,3,0,22.65,8.69,198.86
2021,3,24,4,0,22.2,8.58,200.6
2021,3,24,5,0,21.73,8.45,201.87
2021,3,24,6,79.89,22.02,8.56,203.39
2021,3,24,7,323.3,24.15,8.1,206.05
2021,3,24,8,570.32,28.18,7.59,207.23
2021,3,24,9,776.41,32.89,9.65,207.83
2021,3,24,10,924.45,35.28,9.83,206.51
2021,3,24,11,953.78,36.43,9.31,204.25
2021,3,24,12,949.86,37.18,8.87,202.97
2021,3,24,13,873.36,37.59,8.58,202.82
2021,3,24,14,715.64,37.57,8.36,202.64
2021,3,24,15,498.21,37.05,8.14,201.62
2021,3,24,16,248.59,35.9,7.3,199.36
2021,3,24,17,62.75,31.71,4.52,193.16
2021,3,24,18,0,28.58,4.74,186.91
2021,3,24,19,0,28.05,5.62,184.18
2021,3,24,20,0,27.75,6.84,184.51
2021,3,24,21,0,27.31,7.89,186.58
2021,3,24,22,0,26.55,8.37,189.47
2021,3,24,23,0,25.69,8.56,192.43
2021,3,25,0,0,24.84,8.45,196.56
2021,3,25,1,0,23.8,8.01,207.25
2021,3,25,2,0,22.48,7.06,220.34
2021,3,25,3,0,21.15,5.69,223.44
2021,3,25,4,0,20.5,5.33,221.67
2021,3,25,5,0,20.13,5.12,223.29
2021,3,25,6,64.9,21.03,5.86,230.48
2021,3,25,7,267.97,23.41,5.73,239.28
2021,3,25,8,505.16,27.54,4.88,267.97
2021,3,25,9,714.73,31.79,5.22,293.27
2021,3,25,10,867.13,33.77,4.3,290.17
2021,3,25,11,953.81,35.17,3.61,278.46
2021,3,25,12,959.39,36.12,3.12,265.91
2021,3,25,13,884.51,36.72,2.73,255.53
2021,3,25,14,737.2,36.87,2.41,246.74
2021,3,25,15,531.15,36.55,2.03,237.09
2021,3,25,16,289.27,35.74,1.41,225.55
2021,3,25,17,70.36,33.65,0.24,73.86
2021,3,25,18,0,30,2.1,53.02
2021,3,25,19,0,27.6,3.21,59.78
2021,3,25,20,0,26.22,3.79,69.61
2021,3,25,21,0,25.02,4.62,79.59
2021,3,25,22,0,23.81,4.99,88.99
2021,3,25,23,0,22.56,4.57,96.32
2021,3,26,0,0,21.48,4.4,94.96
2021,3,26,1,0,20.46,4.58,84.61
2021,3,26,2,0,19.55,5.12,78.54
2021,3,26,3,0,18.64,5.57,76.69
2021,3,26,4,0,17.78,5.65,77.32
2021,3,26,5,0,17,5.41,79.41
2021,3,26,6,75.6,17.15,5.75,84.87
2021,3,26,7,298.33,19,6.7,93.49
2021,3,26,8,542.21,22.04,6.42,111.96
2021,3,26,9,751.53,25.65,5.81,134.41
2021,3,26,10,905.67,29.96,6.35,162.7
2021,3,26,11,946.09,34.22,7.84,181.74
2021,3,26,12,947.91,36.52,8.07,189.17
2021,3,26,13,873.06,37.77,8.04,193.26
2021,3,26,14,649.88,38.19,7.96,195.94
2021,3,26,15,416.84,37.85,7.73,196.82
2021,3,26,16,206.59,36.69,6.55,194.23
2021,3,26,17,61.73,31.96,4.01,183.28
2021,3,26,18,0,28.84,4.53,170.92
2021,3,26,19,0,28.35,5.55,164.78
2021,3,26,20,0,27.78,7.09,165.36
2021,3,26,21,0,26.69,7.74,170.12
2021,3,26,22,0,25.62,7.68,176.39
2021,3,26,23,0,24.62,7.41,183.21
2021,3,27,0,0,23.69,7.16,189.7
2021,3,27,1,0,22.71,6.73,198.61
2021,3,27,2,0,21.61,6.33,214.08
2021,3,27,3,0,20.64,6.26,227.28
2021,3,27,4,0,19.8,5.81,230.39
2021,3,27,5,0,19.13,5.12,232.43
2021,3,27,6,75.08,19.96,5.34,242.45
2021,3,27,7,289.98,22.19,4.87,258.98
2021,3,27,8,536.09,25.63,4.45,288.69
2021,3,27,9,748.94,28.93,5.17,307.97
2021,3,27,10,900.27,31.15,5.23,319.56
2021,3,27,11,973.36,32.76,4.97,324.43
2021,3,27,12,966.42,33.67,4.97,328.49
2021,3,27,13,883.39,33.96,5.2,332.56
2021,3,27,14,709.27,33.66,5.56,337.88
2021,3,27,15,479.02,32.7,6.11,344.81
2021,3,27,16,234.95,30.97,6.94,352.88
2021,3,27,17,58.6,28.22,7.38,0.38
2021,3,27,18,0,25.53,7.82,3.68
2021,3,27,19,0,23.73,7.93,4.59
2021,3,27,20,0,22.12,8.5,6.26
2021,3,27,21,0,20.47,8.57,9.33
2021,3,27,22,0,18.97,8.55,12.42
2021,3,27,23,0,17.71,8.3,15.46
2021,3,28,0,0,16.64,7.9,17.55
2021,3,28,1,0,15.73,7.62,17.41
2021,3,28,2,0,14.86,7.76,16.5
2021,3,28,3,0,13.97,8.31,16.73
2021,3,28,4,0,13.23,7.88,16.57
2021,3,28,5,0,12.6,7.15,16.01
2021,3,28,6,63.12,12.57,7.5,15.65
2021,3,28,7,226.91,13.93,8.76,16.25
2021,3,28,8,461.98,15.94,8.63,14.98
2021,3,28,9,708.77,18.05,7.88,13.38
2021,3,28,10,845.57,20.08,7.21,11.31
2021,3,28,11,918.82,21.84,6.68,9.23
2021,3,28,12,924.09,23.14,6.3,8.47
2021,3,28,13,847.38,23.96,5.91,8.5
2021,3,28,14,641.58,24.22,5.67,8.18
2021,3,28,15,404.62,23.95,5.46,7.95
2021,3,28,16,189.18,22.99,5.38,8.14
2021,3,28,17,52.35,21.08,4.63,9.23
2021,3,28,18,0,18.3,3.92,11.05
2021,3,28,19,0,17.42,4.82,11.57
2021,3,28,20,0,16.42,5.15,11.15
2021,3,28,21,0,15.42,5.17,10.26
2021,3,28,22,0,14.52,5.13,9.53
2021,3,28,23,0,13.73,5.12,10.14
2021,3,29,0,0,13.06,5.09,13.83
2021,3,29,1,0,12.52,5.14,18.26
2021,3,29,2,0,12,4.99,21.97
2021,3,29,3,0,11.53,4.81,23.84
2021,3,29,4,0,11.12,4.69,24.01
2021,3,29,5,0,10.73,4.62,22.94
2021,3,29,6,85.9,11.48,5.56,20.26
2021,3,29,7,307.12,13.91,6.25,18.59
2021,3,29,8,551.03,16.8,6.81,17.04
2021,3,29,9,764.13,19.1,6.62,14.68
2021,3,29,10,913.05,21.22,6.22,12.96
2021,3,29,11,963.2,23.08,5.83,12.14
2021,3,29,12,964.52,24.48,5.67,13.27
2021,3,29,13,889.9,25.33,5.6,16.44
2021,3,29,14,722.8,25.64,5.55,20.44
2021,3,29,15,500.17,25.3,5.46,24.74
2021,3,29,16,256.59,24.3,5.35,28.09
2021,3,29,17,67.01,21.75,3.89,29.37
2021,3,29,18,0,18.38,3.51,30.14
2021,3,29,19,0,17.23,3.63,31.56
2021,3,29,20,0,16.15,3.57,32.81
2021,3,29,21,0,15.14,3.42,33.57
2021,3,29,22,0,14.21,3.3,33.28
2021,3,29,23,0,13.37,3.22,32.9
2021,3,30,0,0,12.65,3.21,34.53
2021,3,30,1,0,12.05,3.23,38.8
2021,3,30,2,0,11.46,3.26,43.83
2021,3,30,3,0,10.91,3.25,47.25
2021,3,30,4,0,10.37,3.16,48.96
2021,3,30,5,0,9.88,3.06,51.84
2021,3,30,6,85.65,11.69,3.36,57.41
2021,3,30,7,297.71,14.44,3.72,64.09
2021,3,30,8,540.02,18.73,3.31,81.13
2021,3,30,9,750.73,22.75,3.05,98.87
2021,3,30,10,898.29,25.25,2.67,112.01
2021,3,30,11,1020.13,27.76,2.38,138.42
2021,3,30,12,1018.48,30.17,2.44,152.78
2021,3,30,13,903.53,31.19,2.4,150.38
2021,3,30,14,710.51,31.52,2.28,145.95
2021,3,30,15,469.16,31.26,2.22,138.11
2021,3,30,16,226.63,30.37,2.41,124.02
2021,3,30,17,60.28,26.39,2.5,102.38
2021,3,30,18,0,22.9,3.62,97.11
2021,3,30,19,0,22,4.24,100.04
2021,3,30,20,0,21.18,4.97,104.65
2021,3,30,21,0,20.19,5.67,111.41
2021,3,30,22,0,19.14,5.94,120.11
2021,3,30,23,0,18.37,5.94,130.27
2021,3,31,0,0,17.83,5.91,140.49
2021,3,31,1,0,17.48,5.87,150.15
2021,3,31,2,0,17.23,5.84,159.06
2021,3,31,3,0,17.09,5.74,167.45
2021,3,31,4,0,17.08,5.66,174.85
2021,3,31,5,0,17.19,5.63,181.17
2021,3,31,6,84.09,18.73,6.4,186.91
2021,3,31,7,286.64,21.5,6.61,191.1
2021,3,31,8,520.56,25.45,5.81,190.91
2021,3,31,9,731.91,30.76,8.37,190.21
2021,3,31,10,883.12,33.44,7.94,189.37
2021,3,31,11,946.63,35.02,7.25,187.93
2021,3,31,12,945.86,35.97,6.57,186.37
2021,3,31,13,870.81,36.41,6,185.64
2021,3,31,14,676.42,36.4,5.56,185.14
2021,3,31,15,442.02,35.9,5.21,184.38
2021,3,31,16,215.38,34.74,4.39,181.68
2021,3,31,17,53.66,30.26,3.07,169.57
2021,3,31,18,0,27.17,3.8,156.56
2021,3,31,19,0,26.3,4.35,150.88
2021,3,31,20,0,25.66,5.21,151.4
2021,3,31,21,0,25.01,6.18,155.3
2021,3,31,22,0,24.26,6.81,160.57
2021,3,31,23,0,23.48,7,166.02
2021,4,1,0,0,22.89,7.04,171.47
2021,4,1,1,0,22.42,6.99,177.04
2021,4,1,2,0,21.93,6.7,183.36
2021,4,1,3,0,21.42,6.1,188.71
2021,4,1,4,0,21.4,6.04,192.62
2021,4,1,5,0,21.33,6.07,195.91
2021,4,1,6,87.12,22.1,6.69,199.14
2021,4,1,7,295,24.06,6.86,200.78
2021,4,1,8,532.03,27.54,6.99,202.22
2021,4,1,9,740.45,31.83,9.72,206.67
2021,4,1,10,888.28,34.29,9.76,213.28
2021,4,1,11,965.29,35.73,9.13,218.21
2021,4,1,12,964.39,36.61,8.21,220.45
2021,4,1,13,870.95,37.06,7.18,220.11
2021,4,1,14,694.53,37.08,6.16,218.16
2021,4,1,15,430.71,36.62,5.11,215.23
2021,4,1,16,220.41,35.43,3.34,208.33
2021,4,1,17,63.91,31.7,2.32,189.33
2021,4,1,18,0,29.65,2.52,169.85
2021,4,1,19,0,28.12,2.91,156.07
2021,4,1,20,0,26.73,3.45,148.65
2021,4,1,21,0,25.42,3.95,150.91
2021,4,1,22,0,24.34,4.27,160.68
2021,4,1,23,0,23.18,4.4,172.05
2021,4,2,0,0,22.12,4.33,182.95
2021,4,2,1,0,21.26,4.17,192.98
2021,4,2,2,0,20.51,4.08,203.25
2021,4,2,3,0,19.94,4.1,210.33
2021,4,2,4,0,19.53,4.23,211.59
2021,4,2,5,0,19.37,4.57,209.25
2021,4,2,6,103.55,21.26,6.08,207.81
2021,4,2,7,329.13,23.93,6.96,205.41
2021,4,2,8,571.58,27.62,6.79,203.68
2021,4,2,9,777.26,32.54,8.05,207.32
2021,4,2,10,925.06,35.61,8.86,212.14
2021,4,2,11,965.81,37.21,8.69,216.05
2021,4,2,12,964.07,38.16,8.19,219.44
2021,4,2,13,894.95,38.62,7.52,222
2021,4,2,14,742.2,38.61,6.77,223.82
2021,4,2,15,534.02,38.15,5.87,226.25
2021,4,2,16,290.88,37.15,4.47,231.34
2021,4,2,17,60.69,33.2,2.31,250.5
2021,4,2,18,0,30.24,2.44,290.29
2021,4,2,19,0,28.98,2.5,311.69
2021,4,2,20,0,28.08,1.98,321.47
2021,4,2,21,0,28.59,0.83,322.26
2021,4,2,22,0,28.69,0.53,191.86
2021,4,2,23,0,27.62,0.98,214.84
2021,4,3,0,0,25.41,1.75,317.14
2021,4,3,1,0,24.11,4.51,351.01
2021,4,3,2,0,22.4,7.36,5.97
2021,4,3,3,0,20.51,7.24,5.66
2021,4,3,4,0,19.45,7.02,0.78
2021,4,3,5,0,18.73,7.09,1.49
2021,4,3,6,92.42,19.04,7.16,3.19
2021,4,3,7,274.74,21.07,9.4,8.98
2021,4,3,8,482.67,23.24,9.99,11
2021,4,3,9,664.35,25.12,8.86,12.13
2021,4,3,10,787.68,26.73,7.76,12.89
2021,4,3,11,915.27,27.99,7.05,9.9
2021,4,3,12,884.17,28.72,6.94,5.18
2021,4,3,13,654.24,28.93,6.96,2.15
2021,4,3,14,552.96,28.65,6.92,359.94
2021,4,3,15,325.87,27.81,7,359.04
2021,4,3,16,167.97,26.44,7.25,0.78
2021,4,3,17,54.91,24.63,7.38,5.96
2021,4,3,18,0,22.65,6.55,10.79
2021,4,3,19,0,21.27,6.19,14.9
2021,4,3,20,0,20.3,6.35,19
2021,4,3,21,0,19.35,6.22,22.54
2021,4,3,22,0,18.23,5.65,25
2021,4,3,23,0,17.18,5.01,25.52
2021,4,4,0,0,16.32,4.48,25.07
2021,4,4,1,0,15.73,4.26,25.7
2021,4,4,2,0,15.26,4.15,26.48
2021,4,4,3,0,15.03,4.34,27.24
2021,4,4,4,0,14.63,4.33,27.35
2021,4,4,5,0,14.01,3.98,25.96
2021,4,4,6,88.3,14.58,5.01,25.37
2021,4,4,7,263.52,16.67,7.15,26.31
2021,4,4,8,515.38,18.78,7.55,22.57
2021,4,4,9,743.95,20.9,7.27,19.84
2021,4,4,10,874.54,22.93,6.81,17.16
2021,4,4,11,893.15,24.64,6.3,13.8
2021,4,4,12,909.83,25.89,5.88,12.29
2021,4,4,13,824.3,26.66,5.51,6.62
2021,4,4,14,709,26.87,4.98,1.54
2021,4,4,15,491.2,26.48,4.71,359.46
2021,4,4,16,253.81,25.51,4.78,0.95
2021,4,4,17,70,23.7,4.15,7.54
2021,4,4,18,0,20.98,3.62,15.1
2021,4,4,19,0,20.18,4.22,19.15
2021,4,4,20,0,19.49,4.41,21.1
2021,4,4,21,0,18.87,4.45,22.31
2021,4,4,22,0,18.22,4.39,23.62
2021,4,4,23,0,17.5,4.12,24.87
2021,4,5,0,0,16.98,4.05,24.68
2021,4,5,1,0,16.31,3.9,22.78
2021,4,5,2,0,14.93,3.48,20.88
2021,4,5,3,0,14.32,3.52,19.79
2021,4,5,4,0,13.44,3.4,20.36
2021,4,5,5,0,12.81,3.37,21.73
2021,4,5,6,94.12,14.08,4.61,22.29
2021,4,5,7,286.99,16.28,4.4,22.52
2021,4,5,8,538.41,20.35,6.54,22.33
2021,4,5,9,747.31,22.82,6.79,14.51
2021,4,5,10,898.59,24.82,6.9,8.63
2021,4,5,11,936.45,26.49,6.87,3.46
2021,4,5,12,935.56,27.59,6.78,1.46
2021,4,5,13,867.3,28.12,6.61,1.87
2021,4,5,14,712.12,28.18,6.34,3.52
2021,4,5,15,502.34,27.75,6.07,7.11
2021,4,5,16,270.71,26.69,5.76,13.5
2021,4,5,17,79.55,24.08,4.01,24.49
2021,4,5,18,0,20.23,3.52,33.6
2021,4,5,19,0,18.94,3.57,38.65
2021,4,5,20,0,17.88,3.52,40.81
2021,4,5,21,0,16.94,3.45,40.44
2021,4,5,22,0,16.1,3.38,39.02
2021,4,5,23,0,15.37,3.33,36.64
2021,4,6,0,0,14.73,3.27,35.9
2021,4,6,1,0,14.16,3.21,36.67
2021,4,6,2,0,13.69,3.14,38.21
2021,4,6,3,0,13.28,3.07,40.37
2021,4,6,4,0,12.95,2.98,43.26
2021,4,6,5,0,12.71,2.83,47.64
2021,4,6,6,122.98,14.94,2.48,52.59
2021,4,6,7,343.8,17.97,2.74,57.45
2021,4,6,8,582.82,21.83,2.95,49.33
2021,4,6,9,779.26,25.13,3.62,35.67
2021,4,6,10,918.63,26.99,3.51,31.11
2021,4,6,11,1012.59,28.49,3.39,28.15
2021,4,6,12,1007.52,29.63,3.41,26.45
2021,4,6,13,879.38,30.32,3.51,26.73
2021,4,6,14,697.71,30.49,3.61,28.46
2021,4,6,15,480.52,30.13,3.75,30.9
2021,4,6,16,259.18,29.19,3.89,34.13
2021,4,6,17,71.71,26.07,2.88,37.44
2021,4,6,18,0,22.49,3.47,41.49
2021,4,6,19,0,21.28,3.6,45.23
2021,4,6,20,0,20.22,3.58,48.23
2021,4,6,21,0,19.23,3.49,50.71
2021,4,6,22,0,18.33,3.34,53.4
2021,4,6,23,0,17.61,3.14,56.33
2021,4,7,0,0,17.15,2.89,60.3
2021,4,7,1,0,17.14,2.54,64.92
2021,4,7,2,0,17.43,2.12,69.19
2021,4,7,3,0,17.82,1.66,73.02
2021,4,7,4,0,18.13,1.2,79.45
2021,4,7,5,0,18.04,0.92,96.9
2021,4,7,6,127.91,18.74,0.78,133.21
2021,4,7,7,347.58,20.9,1.26,159.79
2021,4,7,8,591.4,24.26,1.64,154.46
2021,4,7,9,793.16,28.7,1.64,158.85
2021,4,7,10,940.92,30.98,0.88,169.19
2021,4,7,11,968.71,32.75,0.25,93.9
2021,4,7,12,961.27,34.19,0.73,41.13
2021,4,7,13,884.19,34.76,1.09,40.26
2021,4,7,14,733.45,34.8,1.41,48.76
2021,4,7,15,518.14,34.39,1.81,58.58
2021,4,7,16,256.35,33.47,2.31,68.81
2021,4,7,17,68.88,30.12,2.32,76.3
2021,4,7,18,0,26.42,3.3,82.11
2021,4,7,19,0,25.12,3.8,90.06
2021,4,7,20,0,24.04,4.17,99.87
2021,4,7,21,0,22.94,4.35,110.03
2021,4,7,22,0,21.95,4.34,120.22
2021,4,7,23,0,21.11,4.26,130.19
2021,4,8,0,0,20.42,4.23,140.11
2021,4,8,1,0,19.83,4.21,150.01
2021,4,8,2,0,19.31,4.21,159.69
2021,4,8,3,0,18.85,4.2,168.94
2021,4,8,4,0,18.42,4.16,178.06
2021,4,8,5,7.23,18.08,4.13,187.58
2021,4,8,6,107,20.22,4.69,197.14
2021,4,8,7,313.61,23.3,5.66,204.92
2021,4,8,8,549.41,27.18,5.24,207.7
2021,4,8,9,750.52,31.87,6.82,211
2021,4,8,10,898.6,34.08,6.03,214.46
2021,4,8,11,998.96,35.53,5.29,215.74
2021,4,8,12,993.05,36.41,4.83,217.36
2021,4,8,13,862.77,36.81,4.54,218.56
2021,4,8,14,680.74,36.73,4.26,217.82
2021,4,8,15,463.27,36.19,4.01,214.84
2021,4,8,16,245.12,35.12,3.7,209.24
2021,4,8,17,69.91,31.1,2.56,197.65
2021,4,8,18,0,27.76,3.05,185.5
2021,4,8,19,0,26.33,3.45,177.36
2021,4,8,20,0,25.28,3.86,171.33
2021,4,8,21,0,24.54,4.21,167.63
2021,4,8,22,0,24,4.51,167.24
2021,4,8,23,0,23.4,4.75,170.38
2021,4,9,0,0,22.65,4.77,175.46
2021,4,9,1,0,21.97,4.78,181.7
2021,4,9,2,0,21.36,4.82,190.02
2021,4,9,3,0,20.71,4.96,201.3
2021,4,9,4,0,20.05,5.67,216.33
2021,4,9,5,7.47,19.62,6.64,226.23
2021,4,9,6,119.6,20.17,7.15,225.17
2021,4,9,7,318.56,22.68,7.31,218.23
2021,4,9,8,570.91,26.94,7.25,212.28
2021,4,9,9,780.82,31.6,8.35,213.5
2021,4,9,10,935.76,34.6,9.12,215.1
2021,4,9,11,960.38,36.26,8.93,215.64
2021,4,9,12,954.73,37.31,8.32,216.61
2021,4,9,13,856.67,37.87,7.71,216.93
2021,4,9,14,678.51,37.93,7.25,215.52
2021,4,9,15,443.21,37.48,6.89,211.81
2021,4,9,16,223.88,36.4,6.27,206.49
2021,4,9,17,72.26,32.75,3.75,197.05
2021,4,9,18,0,29.57,3.85,186.57
2021,4,9,19,0,28.62,4.16,180.1
2021,4,9,20,0,27.9,4.5,177.73
2021,4,9,21,0,27.3,5.05,174.87
2021,4,9,22,0,26.69,6.34,172.77
2021,4,9,23,0,25.16,7.27,175.75
2021,4,10,0,0,23.94,7.35,183.84
2021,4,10,1,0,23.23,6.86,192.28
2021,4,10,2,0,22.42,6.1,202.63
2021,4,10,3,0,21.48,4.9,215.16
2021,4,10,4,0,20.58,3.97,223.48
2021,4,10,5,7.17,19.99,3.59,225.39
2021,4,10,6,101.3,21.56,4.56,223.82
